Region,Comuna,Anio,Mes,Categoria,Frecuencia,Tasa_por_100k,IDI
Arica y Parinacota,Arica,2021,1,Amenazas y Riñas,357,277.9,74.2
Arica y Parinacota,Arica,2021,1,Homicidios y Femicidios,251,233.94,84.5
Arica y Parinacota,Arica,2021,1,Robos con Violencia e Intimidación,271,136.16,167.1
Arica y Parinacota,Arica,2021,1,Violaciones y Delitos Sexuales,299,228.11,88.7
Arica y Parinacota,Arica,2021,1,Ley de Control de Armas,110,135.44,124.7
Arica y Parinacota,Arica,2021,1,Delitos en Contexto de Violencia Intrafamiliar,75,73.46,170.8
Arica y Parinacota,Arica,2021,1,Consumo de Alcohol y Drogas en la Vía Pública,157,128.96,198.4
Arica y Parinacota,Arica,2021,1,Hurtos,111,60.92,169.7
Arica y Parinacota,Arica,2021,1,Daños,257,134.95,173.3
Arica y Parinacota,Arica,2021,2,Amenazas y Riñas,492,400.76,75.1
Arica y Parinacota,Arica,2021,2,Homicidios y Femicidios,140,76.21,92
Arica y Parinacota,Arica,2021,2,Robos con Violencia e Intimidación,416,244.25,93.2
Arica y Parinacota,Arica,2021,2,Violaciones y Delitos Sexuales,439,452.33,178
Arica y Parinacota,Arica,2021,2,Ley de Control de Armas,278,230.14,157.9
Arica y Parinacota,Arica,2021,2,Delitos en Contexto de Violencia Intrafamiliar,142,142.08,184.6
Arica y Parinacota,Arica,2021,2,Consumo de Alcohol y Drogas en la Vía Pública,142,138.74,164.2
Arica y Parinacota,Arica,2021,2,Hurtos,280,483.59,121.3
Arica y Parinacota,Arica,2021,2,Daños,459,244.62,90.8
Arica y Parinacota,Arica,2021,3,Amenazas y Riñas,275,217.59,125.6
Arica y Parinacota,Arica,2021,3,Homicidios y Femicidios,305,195.79,159.7
Arica y Parinacota,Arica,2021,3,Robos con Violencia e Intimidación,489,539.62,67.4
Arica y Parinacota,Arica,2021,3,Violaciones y Delitos Sexuales,451,254.07,94.6
Arica y Parinacota,Arica,2021,3,Ley de Control de Armas,168,213.11,145
Arica y Parinacota,Arica,2021,3,Delitos en Contexto de Violencia Intrafamiliar,307,190.06,150.6
Arica y Parinacota,Arica,2021,3,Consumo de Alcohol y Drogas en la Vía Pública,120,142.45,151.8
Arica y Parinacota,Arica,2021,3,Hurtos,159,130.82,91.5
Arica y Parinacota,Arica,2021,3,Daños,239,133.07,151.5
Arica y Parinacota,Arica,2021,4,Amenazas y Riñas,459,299.43,148.5
Arica y Parinacota,Arica,2021,4,Homicidios y Femicidios,342,647.09,184.2
Arica y Parinacota,Arica,2021,4,Robos con Violencia e Intimidación,358,543.39,164
Arica y Parinacota,Arica,2021,4,Violaciones y Delitos Sexuales,476,282.08,100
Arica y Parinacota,Arica,2021,4,Ley de Control de Armas,436,460.51,179.8
Arica y Parinacota,Arica,2021,4,Delitos en Contexto de Violencia Intrafamiliar,140,70.05,181.2
Arica y Parinacota,Arica,2021,4,Consumo de Alcohol y Drogas en la Vía Pública,465,547.45,85.1
Arica y Parinacota,Arica,2021,4,Hurtos,295,229.85,132.4
Arica y Parinacota,Arica,2021,4,Daños,332,314.18,155.4
Arica y Parinacota,Arica,2021,5,Amenazas y Riñas,470,264.46,146.4
Arica y Parinacota,Arica,2021,5,Homicidios y Femicidios,322,186.86,51.7
Arica y Parinacota,Arica,2021,5,Robos con Violencia e Intimidación,58,35.35,170.6
Arica y Parinacota,Arica,2021,5,Violaciones y Delitos Sexuales,430,230.72,84.3
Arica y Parinacota,Arica,2021,5,Ley de Control de Armas,496,339.58,162.3
Arica y Parinacota,Arica,2021,5,Delitos en Contexto de Violencia Intrafamiliar,349,277.28,135.6
Arica y Parinacota,Arica,2021,5,Consumo de Alcohol y Drogas en la Vía Pública,42,22.4,189.9
Arica y Parinacota,Arica,2021,5,Hurtos,174,266.99,132.9
Arica y Parinacota,Arica,2021,5,Daños,68,75.54,132.2
Arica y Parinacota,Arica,2021,6,Amenazas y Riñas,485,857.56,131.9
Arica y Parinacota,Arica,2021,6,Homicidios y Femicidios,351,229.41,123.1
