Region,Comuna,Anio,Semana,Categoria,Casos,Casos_previos_anio,Variacion_porcentual
Arica y Parinacota,Arica,2024,1,Amenazas y Riñas,50,54,-7.41
Arica y Parinacota,Arica,2024,1,Homicidios y Femicidios,19,20,-5
Arica y Parinacota,Arica,2024,1,Robos con Violencia e Intimidación,2,0,
Arica y Parinacota,Arica,2024,1,Violaciones y Delitos Sexuales,37,37,0
Arica y Parinacota,Arica,2024,1,Ley de Control de Armas,23,21,9.52
Arica y Parinacota,Arica,2024,1,Delitos en Contexto de Violencia Intrafamiliar,29,29,0
Arica y Parinacota,Arica,2024,1,Consumo de Alcohol y Drogas en la Vía Pública,3,6,-50
Arica y Parinacota,Arica,2024,1,Hurtos,2,9,-77.78
Arica y Parinacota,Arica,2024,1,Daños,6,4,50
Arica y Parinacota,Arica,2024,2,Amenazas y Riñas,36,37,-2.7
Arica y Parinacota,Arica,2024,2,Homicidios y Femicidios,49,48,2.08
Arica y Parinacota,Arica,2024,2,Robos con Violencia e Intimidación,32,38,-15.79
Arica y Parinacota,Arica,2024,2,Violaciones y Delitos Sexuales,24,28,-14.29
Arica y Parinacota,Arica,2024,2,Ley de Control de Armas,38,48,-20.83
Arica y Parinacota,Arica,2024,2,Delitos en Contexto de Violencia Intrafamiliar,46,52,-11.54
Arica y Parinacota,Arica,2024,2,Consumo de Alcohol y Drogas en la Vía Pública,20,21,-4.76
Arica y Parinacota,Arica,2024,2,Hurtos,49,50,-2
Arica y Parinacota,Arica,2024,2,Daños,30,20,50
Arica y Parinacota,Arica,2024,3,Amenazas y Riñas,12,8,50
Arica y Parinacota,Arica,2024,3,Homicidios y Femicidios,30,25,20
Arica y Parinacota,Arica,2024,3,Robos con Violencia e Intimidación,3,8,-62.5
Arica y Parinacota,Arica,2024,3,Violaciones y Delitos Sexuales,39,35,11.43
Arica y Parinacota,Arica,2024,3,Ley de Control de Armas,2,0,
Arica y Parinacota,Arica,2024,3,Delitos en Contexto de Violencia Intrafamiliar,7,12,-41.67
Arica y Parinacota,Arica,2024,3,Consumo de Alcohol y Drogas en la Vía Pública,23,23,0
Arica y Parinacota,Arica,2024,3,Hurtos,25,34,-26.47
Arica y Parinacota,Arica,2024,3,Daños,9,16,-43.75
Arica y Parinacota,Arica,2024,4,Amenazas y Riñas,45,40,12.5
Arica y Parinacota,Arica,2024,4,Homicidios y Femicidios,8,12,-33.33
Arica y Parinacota,Arica,2024,4,Robos con Violencia e Intimidación,42,42,0
Arica y Parinacota,Arica,2024,4,Violaciones y Delitos Sexuales,6,11,-45.45
Arica y Parinacota,Arica,2024,4,Ley de Control de Armas,18,18,0
Arica y Parinacota,Arica,2024,4,Delitos en Contexto de Violencia Intrafamiliar,46,37,24.32
Arica y Parinacota,Arica,2024,4,Consumo de Alcohol y Drogas en la Vía Pública,32,40,-20
Arica y Parinacota,Arica,2024,4,Hurtos,32,40,-20
Arica y Parinacota,Arica,2024,4,Daños,36,44,-18.18
Arica y Parinacota,Arica,2024,5,Amenazas y Riñas,16,24,-33.33
Arica y Parinacota,Arica,2024,5,Homicidios y Femicidios,1,11,-90.91
Arica y Parinacota,Arica,2024,5,Robos con Violencia e Intimidación,4,12,-66.67
Arica y Parinacota,Arica,2024,5,Violaciones y Delitos Sexuales,47,46,2.17
Arica y Parinacota,Arica,2024,5,Ley de Control de Armas,18,13,38.46
Arica y Parinacota,Arica,2024,5,Delitos en Contexto de Violencia Intrafamiliar,1,0,
Arica y Parinacota,Arica,2024,5,Consumo de Alcohol y Drogas en la Vía Pública,50,48,4.17
Arica y Parinacota,Arica,2024,5,Hurtos,42,49,-14.29
